Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2024-07-24,5427.13,Hold,TN,0.0435745914966028,0.9564254085033972,1000.0,1000.0
2024-07-25,5399.22,Buy,FP,0.0744180706371656,0.9255819293628345,1000.0,994.8573186933057
2024-07-26,5459.1,Hold,TN,0.0145628839367735,0.9854371160632264,1011.0904908486781,1005.8907746820142
2024-07-29,5463.54,Hold,TN,0.0152479737832701,0.98475202621673,1011.9128318534898,1006.7088866491129
2024-07-30,5436.44,Hold,TN,0.0384731374147536,0.9615268625852464,1006.8935883331294,1001.7154554985783
2024-07-31,5522.3,Hold,TN,0.0003665155692893,0.9996334844307108,1022.7958853315848,1017.5359720515263
2024-08-01,5446.68,Hold,FN,0.0122393585431592,0.9877606414568408,1008.7901585784613,1003.6022722875626
2024-08-02,5346.56,Buy,TP,0.1031884169033059,0.8968115830966941,990.2467393438311,985.1542159483927
2024-08-05,5186.33,Hold,FN,0.0200412817308893,0.9799587182691106,960.5702305147779,955.6303239465426
2024-08-06,5240.03,Hold,FN,0.0261517071458244,0.9738482928541756,970.5161115864883,965.5250565215869
2024-08-07,5199.5,Hold,FN,0.0262421179262428,0.9737578820737572,963.0094717385102,958.0570209300312
2024-08-08,5319.31,Buy,TP,0.1099777357992381,0.8900222642007618,985.1997140327676,980.1331458800508
2024-08-09,5344.16,Buy,TP,0.0542567951440988,0.9457432048559012,989.8022306925814,984.7119932634744
2024-08-12,5344.39,Hold,FN,0.0490593039957664,0.9509406960042336,1989.844829438326,1984.7543729374456
2024-08-13,5434.43,Hold,FN,0.0010864347021025,0.9989135652978974,2006.521312337708,2018.1926668754418
2024-08-14,5455.21,Hold,FN,0.0009498830795274,0.9990501169204726,2010.3700164097777,2025.9097675865873
2024-08-15,5543.22,Hold,TN,0.0008459503964063,0.9991540496035936,2026.6705190749774,2058.594177287643
2024-08-16,5554.25,Hold,TN,0.0009161939217893,0.9990838060782108,2028.7134067513455,2062.690405432202
2024-08-19,5608.25,Hold,TN,0.0009180477514792,0.9990819522485208,2038.714851404462,2082.744468877913
2024-08-20,5597.12,Hold,TN,0.0008951008727568,0.9991048991272432,2036.6534425342918,2078.6111035788244
2024-08-21,5620.85,Hold,TN,0.0008939053601824,0.9991060946398176,2041.0485218235226,2087.423750348579
2024-08-22,5570.64,Hold,TN,0.000795703503223,0.999204296496777,2031.7490304155044,2068.777185059521
2024-08-23,5634.61,Hold,TN,0.0067228906344806,0.9932771093655192,2043.597038090687,2092.5338228117816
2024-08-26,5616.84,Hold,TN,0.0074867042679337,0.9925132957320664,2040.3058219520597,2085.934550451962
2024-08-27,5625.8,Hold,TN,0.0429681558942494,0.9570318441057506,2041.965320916725,2089.262039497769
2024-08-28,5592.18,Hold,TN,0.003633720652138,0.996366279347862,2035.7384955604698,2076.7765281450875
2024-08-29,5591.96,Hold,TN,0.0045805096010286,0.9954194903989714,2035.6977489341052,2076.6948264051234
2024-08-30,5648.4,Hold,TN,0.0040787633676014,0.9959212366323986,2046.151110715992,2097.655036421344
2024-09-03,5528.93,Buy,TP,0.0902389845702781,0.909761015429722,2024.0238404806619,2053.2872779054355
2024-09-04,5520.07,Buy,TP,0.0955413667371607,0.9044586332628392,2020.7803826639308,2049.9969260141575
2024-09-05,5503.41,Hold,FN,0.0278297365658822,0.9721702634341176,2014.6815105164435,2043.8098760696107
2024-09-06,5408.42,Buy,TP,0.5036631521677754,0.4963368478322246,1979.9076890704753,2008.5332929824244
2024-09-09,5471.05,Buy,TP,0.0822435303617503,0.9177564696382496,2002.835201831408,2031.792292863996
2024-09-10,5495.52,Hold,FN,0.0365851969338479,0.963414803066152,3011.7931490972555,3040.879754577265
2024-09-11,5554.13,Hold,TN,0.0147197856998955,0.9852802143001044,4033.2490252415673,4073.3108916517863
2024-09-12,5595.76,Hold,TN,0.006412574800848,0.993587425199152,4048.488884035079,4103.84167368596
2024-09-13,5626.02,Hold,TN,0.0044106172233243,0.9955893827766756,4059.566427323373,4126.033877970229
2024-09-16,5633.09,Hold,TN,0.0095734384591326,0.9904265615408672,4062.154604159071,4131.2189038885945
2024-09-17,5634.58,Hold,TN,0.0097788485805242,0.9902211514194758,4062.700061511998,4132.31164626743
2024-09-18,5618.26,Hold,TN,0.0115193426753478,0.9884806573246522,4056.7256561430304,4120.342816990522
2024-09-19,5713.64,Hold,TN,0.0098336862522311,0.9901663137477688,4091.6422483055367,4190.292996918926
2024-09-20,5702.55,Hold,TN,0.0093844057515803,0.9906155942484196,4087.5824348532174,4182.159766730144
2024-09-23,5718.57,Hold,TN,0.0039072248796004,0.9960927751203996,4093.447016594079,4193.908580762992
2024-09-24,5732.93,Hold,TN,0.0056131815956359,0.994386818404364,4098.703907592753,4204.439977112037
2024-09-25,5722.26,Hold,TN,0.0061265151695131,0.9938734848304868,4094.797847219783,4196.61476826494
2024-09-26,5745.37,Hold,TN,0.0093117157572084,0.9906882842427917,4103.257927371549,4213.563275899091
2024-09-27,5738.17,Hold,TN,0.0201494716742581,0.979850528325742,4100.622160297005,4208.282910041632
2024-09-30,5762.48,Hold,TN,0.0367789129173397,0.9632210870826604,4109.521534961195,4226.1114786520275
2024-10-01,5708.75,Hold,TN,0.0362451196046006,0.9637548803953994,4089.8521231674085,4186.706748440734
2024-10-02,5709.54,Hold,TN,0.0433327734150723,0.9566672265849276,4090.141325388088,4187.286121916761
2024-10-03,5699.94,Hold,TN,0.0225992819887065,0.9774007180112934,4086.626969288695,4180.245634106815
2024-10-04,5751.07,Hold,TN,0.0177313781894646,0.9822686218105354,4105.344576305564,4217.743565536247
2024-10-07,5695.94,Hold,TN,0.0359272308997448,0.9640727691002552,4085.1626542472814,4177.312097519337
2024-10-08,5751.13,Hold,TN,0.0200021647404244,0.9799978352595756,4105.366541031185,4217.7875685850595
2024-10-09,5792.04,Hold,TN,0.0136068390959539,0.986393160904046,4120.342823117242,4247.790314033487
2024-10-10,5780.05,Hold,TN,0.0131170186361242,0.9868829813638758,5115.9535387806045,5238.997038112523
2024-10-11,5815.03,Hold,TN,0.009775234032636,0.990224765967364,6128.758973817767,6270.702666332551
2024-10-14,5859.85,Hold,TN,0.0431815056770759,0.956818494322924,6145.166623856805,6319.0348148348
2024-10-15,5815.26,Hold,TN,0.0041249226334628,0.9958750773665372,6128.843171932648,6270.95068940608
2024-10-16,5842.47,Hold,TN,0.0031455104633469,0.9968544895366532,6138.804175001864,6300.292897365611
2024-10-17,5841.47,Hold,TN,0.0035199542951888,0.9964800457048112,6138.438096241511,6299.214536176359
2024-10-18,5864.67,Hold,TN,0.0027808317401529,0.997219168259847,6146.931123481709,6324.232515766991
2024-10-21,5853.98,Hold,TN,0.0040349019626792,0.9959650980373208,6143.017741533531,6312.704834653893
2024-10-22,5851.2,Hold,TN,0.0002816847011353,0.9997183152988646,6142.000042579748,6309.706990547775
2024-10-23,5797.42,Hold,TN,0.0015220401375795,0.9984779598624204,6122.312326847943,6251.712725789835
2024-10-24,5809.86,Hold,TN,0.0017765407113924,0.9982234592886076,6126.866346626739,6265.127538984122
2024-10-25,5808.12,Hold,TN,0.0031163130899704,0.9968836869100296,6126.229369583725,6263.251190514825
2024-10-28,5823.52,Hold,TN,0.0016961001626429,0.998303899837357,6131.866982493168,6279.857952829297
2024-10-29,5832.92,Hold,TN,0.0011546070438428,0.9988453929561572,6135.308122840489,6289.99454800826
2024-10-30,5813.67,Hold,TN,0.00141926203673,0.99858073796327,6128.261106703686,6269.23609511517
2024-10-31,5705.45,Buy,FP,0.9048574458966804,0.0951425541033195,6088.644063258242,6152.5358472143835
2024-11-01,5728.8,Buy,FP,0.856923206884336,0.143076793115664,6113.562314908345,6177.715580983404
2024-11-04,5712.69,Buy,FP,0.9835365904612516,0.0164634095387482,6096.3703220139905,6160.343182224563
2024-11-05,5782.76,Buy,FP,0.158446252016334,0.8415537479836659,6171.146420220532,6235.90395075541
2024-11-06,5929.04,Hold,TN,0.0013246278725579,0.998675372127442,6327.250996296636,6393.6466255191035
2024-11-07,5973.1,Hold,TN,0.0451384243548586,0.9548615756451414,6374.2701897743045,6441.159219517521
2024-11-08,5995.54,Buy,FP,0.0603152997642679,0.939684700235732,6398.217323265881,6465.357644604322
2024-11-11,6001.35,Hold,TN,0.0340795958858703,0.9659204041141296,7404.417539201088,7471.622923113872
2024-11-12,5983.99,Hold,TN,0.0191756078537492,0.9808243921462508,7385.891592792274,7450.009890388692
2024-11-13,5985.38,Hold,TN,0.0048521541292095,0.9951478458707904,7387.374949100354,7451.740426995144
2024-11-14,5949.17,Hold,TN,0.000891710093041,0.9991082899069588,7348.732983693492,7406.659325901897
2024-11-15,5870.62,Hold,TN,0.0063877119415147,0.9936122880584852,7264.907344844858,7308.865332781917
2024-11-18,5893.62,Hold,TN,0.0024530924279192,0.9975469075720808,7289.452089510913,7337.500111162051
2024-11-19,5916.98,Hold,TN,0.0039162067012802,0.9960837932987198,7314.381012789131,7366.583086073352
2024-11-20,5917.11,Hold,TN,0.0027461674020154,0.9972538325979844,7314.519743954635,7366.744934820718
2024-11-21,5948.71,Hold,TN,0.0015251440931708,0.998474855906829,7348.242088800171,7406.086630334295
2024-11-22,5969.34,Hold,TN,0.0013590765878773,0.9986409234121226,7370.2576576028105,7431.770781550911
2024-11-25,5987.37,Hold,TN,0.0013074465204796,0.9986925534795204,7389.498603095373,7454.217957820208
2024-11-26,6021.63,Hold,TN,0.0015759693988493,0.9984240306011508,7426.059601019679,7496.871327702965
2024-11-27,5998.74,Hold,TN,0.0017953436661051,0.9982046563338948,7401.632244262896,7468.3734982629085
2024-11-29,6032.38,Hold,TN,0.0015195166390107,0.9984804833609892,7437.53160124403,7510.254974119766
2024-12-02,6047.15,Hold,TN,0.001193552328793,0.998806447671207,7453.293595970883,7528.643481801269
2024-12-03,6049.88,Hold,TN,0.001193552328793,0.998806447671207,7456.2069504464625,7532.042305495956
2024-12-04,6086.49,Hold,TN,0.0017654563456934,0.9982345436543064,7495.275780977951,7577.621402734942
2024-12-05,6075.11,Hold,TN,0.0012043724614929,0.998795627538507,7483.131468182312,7563.453412388598
