Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2024-09-11,5554.13,Hold,TN,0.0221496374336745,0.9778503625663254,6120.112792472294,6042.532708161818
2024-09-12,5595.76,Hold,TN,0.0079610021762817,0.9920389978237184,6158.489693184129,6087.823444360066
2024-09-13,5626.02,Hold,TN,0.0073348474926917,0.9926651525073082,6186.385081498808,6120.744359021584
2024-09-16,5633.09,Hold,TN,0.0125525949649695,0.9874474050350304,6192.902609436177,6128.436059836419
2024-09-17,5634.58,Hold,TN,0.0261797526462196,0.9738202473537804,6194.276176144335,6130.057083063309
2024-09-18,5618.26,Hold,TN,0.037384951442465,0.962615048557535,6179.2314723341715,6112.3019830211415
2024-09-19,5713.64,Hold,TN,0.0211450794925369,0.978854920507463,6267.15817879333,6216.069228243071
2024-09-20,5702.55,Hold,TN,0.0115748049033933,0.9884251950966066,6256.934786314487,6204.00402852079
2024-09-23,5718.57,Hold,TN,0.0134625668528043,0.9865374331471956,6271.702933069317,6221.432748047475
2024-09-24,5732.93,Hold,TN,0.0211450794925369,0.978854920507463,6284.940797451301,6237.0554953885
2024-09-25,5722.26,Hold,TN,0.0103067892434469,0.989693210756553,6275.104584849924,6225.447228387892
2024-09-26,5745.37,Hold,TN,0.0202797149298337,0.9797202850701662,6296.408696679146,6250.589407430445
2024-09-27,5738.17,Hold,TN,0.0181077038387647,0.9818922961612352,6289.771327351133,6242.756275058901
2024-09-30,5762.48,Hold,TN,0.0369984786912773,0.9630015213087229,6312.181667401689,6269.203976163379
2024-10-01,5708.75,Hold,TN,0.0205692251192197,0.9794307748807802,6262.650298791387,6210.74922584073
2024-10-02,5709.54,Hold,TN,0.0254568535703392,0.9745431464296608,6263.378565703767,6211.608694531497
2024-10-03,5699.94,Hold,TN,0.0302531132235626,0.9697468867764374,6254.528739933082,6201.164518036104
2024-10-04,5751.07,Hold,TN,0.0125370336415097,0.9874629663584902,6301.6632807304895,6256.790637224584
2024-10-07,5695.94,Hold,TN,0.0371184877290928,0.9628815122709072,6250.84131252863,6196.81277782969
2024-10-08,5751.13,Hold,TN,0.0111849319392255,0.9888150680607743,6301.718592141557,6256.855913327681
2024-10-09,5792.04,Hold,TN,0.0093659522974627,0.9906340477025372,6339.43175592059,6301.363336288775
2024-10-10,5780.05,Hold,TN,0.0103318919977489,0.989668108002251,7328.378692275745,7288.31899502005
2024-10-11,5815.03,Hold,TN,0.0140362887021692,0.9859637112978308,8360.625244927678,8332.426813887672
2024-10-14,5859.85,Hold,TN,0.0087814282254398,0.9912185717745602,8401.942868994563,8396.649933940096
2024-10-15,5815.26,Hold,TN,0.0028381097799116,0.9971618902200884,8360.837272003435,8332.756383669288
2024-10-16,5842.47,Hold,TN,0.0021364107868459,0.997863589213154,8385.92099692222,8371.745921746631
2024-10-17,5841.47,Hold,TN,0.0021385880412059,0.997861411958794,8384.999140071106,8370.313009652646
