Date,Close,Signal,TN_TP_FP_FN,Equity Value,DCA Value
2023-09-25,4337.44,Hold,TN,1000.0,1000.0
2023-09-26,4273.53,Hold,FN,1000.0,985.2655022317313
2023-09-27,4274.51,Hold,FN,1000.0,985.4914419565459
2023-09-28,4299.7,Hold,FN,1000.0,991.2990150872405
2023-09-29,4288.05,Hold,FN,1000.0,988.6130989708217
2023-10-02,4288.39,Hold,FN,1000.0,988.6914862222881
2023-10-03,4229.45,Hold,FN,1000.0,975.1028256298647
2023-10-04,4263.75,Hold,FN,1000.0,983.0107159983771
2023-10-05,4258.19,Hold,FN,1000.0,981.7288538861633
2023-10-06,4308.5,Hold,FN,1000.0,993.3278615957802
2023-10-09,4335.66,Hold,TN,1000.0,999.5896196835
2023-10-10,4358.24,Hold,TN,2000.0,2004.795455383821
2023-10-11,4376.95,Hold,TN,3000.0,3013.4020770866714
2023-10-12,4349.61,Hold,TN,3000.0,2994.5792866075594
2023-10-13,4327.78,Hold,FN,3000.0,2979.549969996037
2023-10-16,4373.63,Hold,TN,3000.0,3011.1163541755286
2023-10-17,4373.2,Hold,TN,3000.0,3010.82031175029
2023-10-18,4314.6,Hold,FN,3000.0,2970.475925427102
2023-10-19,4278.0,Hold,FN,3000.0,2945.277895744018
2023-10-20,4224.16,Hold,FN,3000.0,2908.2106302211437
2023-10-23,4217.04,Hold,FN,3000.0,2903.3087184358005
2023-10-24,4247.68,Hold,FN,3000.0,2924.4034624109286
2023-10-25,4186.77,Buy,TP,3000.0,2882.4687086405293
2023-10-26,4137.23,Buy,TP,2964.502468490029,2848.361867370038
2023-10-27,4117.37,Buy,TP,2950.271928001777,2834.688838148562
2023-10-30,4166.82,Buy,TP,2985.704970657571,2868.733717050979
2023-10-31,4193.8,Buy,TP,3005.0372960539985,2887.308658057799
2023-11-01,4237.86,Buy,TP,3036.6081728874524,2917.6426795833904
2023-11-02,4317.78,Buy,TP,3093.8742753960687,2972.665262432353
2023-11-03,4358.34,Hold,FN,3122.9372523448865,3000.589636310656
2023-11-06,4365.98,Hold,FN,3128.4116395216356,3005.84955288931
2023-11-07,4378.38,Hold,FN,3137.2967705414912,3014.3865902682783
2023-11-08,4382.78,Hold,FN,3140.4495589678913,3017.4158615962992
2023-11-09,4347.35,Hold,FN,3115.0624467071275,2993.023342698167
2023-11-10,4415.24,Hold,FN,4163.708539040836,4039.763622348017
2023-11-13,4411.55,Hold,FN,5161.064496019604,5036.38742359858
2023-11-14,4495.7,Hold,FN,5221.36157467451,5132.456152661114
2023-11-15,4502.88,Hold,FN,5226.506352152137,5140.65310423175
2023-11-16,4508.24,Hold,FN,5230.347021689751,5146.772276992002
2023-11-17,4514.02,Hold,FN,5234.488639213523,5153.370937170035
2023-11-20,4547.38,Hold,FN,5258.39250782823,5191.455937782347
2023-11-21,4538.19,Hold,FN,5251.807479273999,5180.964296426617
2023-11-22,4556.62,Hold,FN,5265.013363523671,5202.004660973527
2023-11-24,4559.34,Hold,FN,5266.962360005446,5205.109912822013
2023-11-27,4550.43,Hold,FN,5260.577963441985,5194.937929744804
2023-11-28,4554.89,Hold,FN,5263.773744437836,5200.029629466954
2023-11-29,4550.58,Hold,FN,5260.685444865612,5195.109175251154
2023-11-30,4567.8,Hold,FN,5273.024312298025,5214.768159380172
2023-12-01,4594.63,Hold,FN,5292.249156270825,5245.3982722827
2023-12-04,4569.78,Hold,FN,5274.443067089904,5217.028600063996
2023-12-05,4567.18,Hold,FN,5272.580055747032,5214.0603446205905
2023-12-06,4549.34,Hold,FN,5259.796931763627,5193.693545731991
2023-12-07,4585.59,Hold,FN,5285.77160914022,5235.077876433321
2023-12-08,4604.37,Hold,FN,5299.228283378356,5256.517813828382
2023-12-11,4622.44,Hold,FN,6312.176212211322,6277.147189160051
2023-12-12,4643.7,Hold,FN,6327.409912653429,6306.0176881263
2023-12-13,4707.09,Hold,FN,6372.831562278319,6392.099575683706
2023-12-14,4719.55,Hold,FN,6381.759685867626,6409.019915153106
2023-12-15,4719.19,Hold,FN,6381.50173045092,6408.531044991871
2023-12-18,4740.56,Hold,FN,6396.8142506036875,6437.5509209518295
2023-12-19,4768.37,Hold,FN,6416.741306544185,6475.316140907208
2023-12-20,4698.35,Hold,FN,6366.56897799497,6380.230894547064
2023-12-21,4746.75,Hold,FN,6401.249650685373,6445.956771779725
2023-12-22,4754.63,Hold,FN,6406.896008139926,6456.657596420085
2023-12-26,4774.75,Hold,FN,6421.312849762466,6483.980006542422
2023-12-27,4781.58,Hold,TN,6426.206837251628,6493.25495987918
2023-12-28,4783.35,Hold,TN,6427.47511805043,6495.6585715052515
2023-12-29,4769.83,Hold,FN,6417.787459067491,6477.298781005548
2024-01-02,4742.83,Hold,FN,6398.44080281458,6440.633518912948
2024-01-03,4704.81,Hold,FN,6371.197844639185,6389.003397995886
2024-01-04,4688.68,Hold,FN,6359.6400088851315,6367.099298827233
2024-01-05,4697.24,Hold,FN,6365.773615460128,6378.723544883256
2024-01-08,4763.54,Hold,FN,6413.280404703387,6468.757132910643
2024-01-09,4756.5,Hold,FN,6408.235943221147,6459.1970053131645
2024-01-10,4783.45,Hold,TN,7427.546772332848,7495.794368772261
2024-01-11,4780.24,Hold,TN,8425.246669867225,8490.764212729287
2024-01-12,4783.83,Hold,TN,8427.819058606037,8497.140847275608
2024-01-16,4765.98,Hold,FN,8415.02876919439,8465.43529667622
2024-01-17,4739.21,Hold,FN,8395.846917791041,8417.88585188375
2024-01-18,4780.94,Hold,TN,8425.748249844151,8492.007567654755
2024-01-19,4839.81,Hold,TN,8467.93112590374,8596.573716886462
2024-01-22,4850.43,Hold,TN,8475.540810696551,8615.437187327107
2024-01-23,4864.6,Hold,TN,8485.694222515209,8640.606243461187
2024-01-24,4868.55,Hold,TN,8488.524566670727,8647.62231768346
2024-01-25,4894.16,Hold,TN,8506.875228398025,8693.1113457423
2024-01-26,4890.97,Hold,TN,8504.589456788884,8687.44519972482
2024-01-29,4927.93,Hold,TN,8531.072879570647,8753.094339789435
2024-01-30,4924.97,Hold,TN,8528.95191281107,8747.836724676035
2024-01-31,4845.65,Hold,TN,8472.115735996962,8606.946849407494
2024-02-01,4906.19,Hold,TN,8515.495238572934,8714.479288247097
2024-02-02,4958.61,Hold,TN,8553.056413416547,8807.588809951294
2024-02-05,4942.81,Hold,TN,8541.735036794475,8779.524513062202
2024-02-06,4954.23,Hold,TN,8549.917955846631,8799.80896056052
2024-02-07,4995.06,Hold,TN,8579.174399357977,8872.332077141642
2024-02-08,4997.91,Hold,TN,8581.216546406897,8877.394307909612
2024-02-09,5026.61,Hold,TN,8601.781325460915,8928.371859853723
2024-02-12,5021.84,Hold,TN,9598.363416189568,9919.899284147334
2024-02-13,4953.17,Hold,TN,9549.158420452997,9784.25189517389
2024-02-14,5000.62,Hold,TN,9583.15837746043,9877.982324863564
2024-02-15,5029.73,Hold,TN,9604.016939072364,9935.484807651053
2024-02-16,5005.57,Hold,TN,9586.705264440128,9887.760314894414
2024-02-20,4975.51,Hold,TN,9565.165987145221,9828.38124816161
2024-02-21,4981.8,Hold,TN,9569.673041509326,9840.806209231116
2024-02-22,5087.03,Hold,TN,9645.074842897986,10048.67244982636
2024-02-23,5088.8,Hold,TN,9646.343123696788,10052.16882201921
2024-02-26,5069.53,Hold,TN,9632.535343474803,10014.103798202139
2024-02-27,5078.18,Hold,TN,9638.733438903975,10031.190588862111
2024-02-28,5069.76,Hold,TN,9632.700148324364,10014.558129052059
2024-02-29,5096.27,Hold,TN,9651.695698593427,10066.92469788395
2024-03-01,5137.08,Hold,TN,9680.937811248288,10147.538793471633
2024-03-04,5130.95,Hold,TN,9676.545403736054,10135.429888645547
2024-03-05,5078.65,Hold,TN,9639.07021403134,10032.119004077162
2024-03-06,5104.76,Hold,TN,9657.779147170731,10083.695432300501
2024-03-07,5157.36,Hold,TN,9695.469299722698,10187.5989223253
2024-03-08,5123.69,Hold,TN,9671.343302832494,10121.0888366003
2024-03-11,5117.94,Hold,TN,10667.223181593446,11109.730565352342
2024-03-12,5175.27,Hold,TN,10708.302581703796,11234.17924066148
2024-03-13,5165.31,Hold,TN,10701.165815174943,11212.558644009136
2024-03-14,5150.48,Hold,TN,10690.539485092326,11180.366530720548
2024-03-15,5117.09,Hold,TN,10666.614120192893,11107.885434111931
2024-03-18,5149.42,Hold,TN,10689.779949698694,11178.065543526625
2024-03-19,5178.51,Hold,TN,10710.624180454144,11241.2124468014
2024-03-20,5224.62,Hold,TN,10743.663970077172,11341.305389737112
2024-03-21,5241.53,Hold,TN,10755.780709234088,11378.012647708114
2024-03-22,5234.18,Hold,TN,10750.514119476351,11362.057689335148
2024-03-25,5218.19,Hold,TN,10739.056599717682,11327.34751458906
2024-03-26,5203.58,Hold,TN,10728.587909056385,11295.632964680348
2024-03-27,5248.49,Hold,TN,10760.767847290394,11393.121016453126
2024-03-28,5254.35,Hold,TN,10764.966788240099,11405.841568298785
2024-04-01,5243.77,Hold,TN,10757.385765160256,11382.875111212257
2024-04-02,5205.81,Hold,TN,10730.18579955431,11300.473720758133
2024-04-03,5211.49,Hold,TN,10734.255762795663,11312.803538929349
2024-04-04,5147.21,Hold,FN,10688.196390057252,11173.268202301557
2024-04-05,5204.34,Hold,TN,10729.132481602763,11297.28272908354
2024-04-08,5202.39,Hold,TN,10727.73522309561,11293.049780943773
2024-04-09,5209.91,Hold,TN,10733.123625133456,11309.373765564822
2024-04-10,5160.64,Hold,TN,11697.819560186015,12202.421275900053
2024-04-11,5199.06,Hold,TN,12725.349135491082,13293.266021013076
2024-04-12,5123.41,Hold,FN,12671.142670841722,13099.839598834904
2024-04-15,5061.82,Hold,FN,12627.01079830036,12942.362621413178
2024-04-16,5051.41,Hold,FN,12619.551587500628,12915.745713880135
2024-04-17,5022.21,Hold,FN,12598.628537034516,12841.085416092925
2024-04-18,5011.12,Hold,FN,12590.68207711434,12812.729844090863
2024-04-19,4967.23,Hold,FN,12559.233012560995,12700.509280053851
2024-04-22,5010.6,Buy,TP,12590.309474845766,12811.400277143968
2024-04-23,5070.55,Buy,TP,12740.94793192017,12964.684004963945
2024-04-24,5071.63,Buy,TP,12743.661685608915,12967.445413238267
2024-04-25,5048.42,Buy,TP,12685.341108649834,12908.100703935486
2024-04-26,5099.96,Buy,TP,12814.847465240571,13039.881243248941
2024-04-29,5116.17,Buy,TP,12855.57889792074,13081.327935958898
2024-04-30,5035.69,Buy,TP,12653.353993411181,12875.551882331676
2024-05-01,5018.39,Buy,TP,12609.8836796933,12831.318212752269
2024-05-02,5064.2,Buy,TP,12724.992065324297,12948.44794705474
2024-05-03,5127.79,Buy,TP,12884.776877423734,13111.038643502987
2024-05-06,5180.74,Hold,TN,13017.826190219224,13246.42435473014
2024-05-07,5187.7,Hold,TN,13035.314825102258,13264.220096942434
2024-05-08,5187.67,Hold,TN,13035.239443055349,13264.143391157037
2024-05-09,5214.08,Hold,TN,13101.600771684789,13331.67005090225
2024-05-10,5222.68,Hold,TN,14123.210291798883,14353.659042716292
2024-05-13,5221.42,Hold,TN,15120.044245828678,15350.196144282188
2024-05-14,5246.68,Hold,TN,15183.515929326584,15424.456777329247
2024-05-15,5308.15,Hold,TN,15337.973743444407,15605.169410480577
2024-05-16,5297.1,Hold,TN,15310.208022832696,15572.684058336083
2024-05-17,5303.27,Hold,TN,15325.711597147108,15590.82293822129
