Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2024-04-23,5070.55,Buy,TP,0.4840580578494832,0.5159419421505167,1000.0,1000.0
2024-04-24,5071.63,Buy,TP,0.4516200078028946,0.5483799921971053,1000.2129946455514,1000.2129946455514
2024-04-25,5048.42,Buy,TP,0.4178326688219976,0.5821673311780023,995.635581938843,995.635581938843
2024-04-26,5099.96,Buy,TP,0.1265494496522837,0.8734505503477163,1005.8001597459842,1005.8001597459842
2024-04-29,5116.17,Hold,FN,0.0353169421363832,0.9646830578636169,1008.9970516018973,1008.9970516018973
2024-04-30,5035.69,Buy,TP,0.6104709214127598,0.3895290785872402,993.1250061630394,993.1250061630394
2024-05-01,5018.39,Buy,TP,0.6757270641250218,0.3242729358749782,989.7131474889312,989.7131474889312
2024-05-02,5064.2,Buy,TP,0.4759293303987372,0.5240706696012627,998.7476703710643,998.7476703710643
2024-05-03,5127.79,Hold,FN,0.0302018924961999,0.9697981075038,1011.2887162142174,1011.2887162142174
2024-05-06,5180.74,Hold,TN,0.0112115784101392,0.9887884215898608,1021.7313703641616,1021.7313703641616
2024-05-07,5187.7,Hold,TN,0.0132954541318862,0.9867045458681136,1023.1040025243809,1023.1040025243809
2024-05-08,5187.67,Hold,TN,0.0120145459755748,0.9879854540244252,1023.0980860064491,1023.0980860064491
2024-05-09,5214.08,Hold,TN,0.0249615411490219,0.975038458850978,1028.3065939592352,1028.3065939592352
2024-05-10,5222.68,Hold,TN,0.0249615411490219,0.975038458850978,2030.0026624330694,2030.0026624330696
2024-05-13,5221.42,Hold,TN,0.0171230190558632,0.9828769809441368,3029.7541686799264,3029.5129132325314
2024-05-14,5246.68,Hold,TN,0.0065352666859068,0.9934647333140932,3034.7358767786536,3044.1689830733512
2024-05-15,5308.15,Hold,TN,0.0078525255369749,0.992147474463025,3046.8588220212796,3079.834407187175
2024-05-16,5297.1,Hold,TN,0.0115117983838661,0.9884882016161338,3044.6795712496673,3073.423101892597
